Linear regression
MAE: 8.199688274043586
RMSE: 12.582827070998494
R²: 0.33023997651709636

Polynomial Regression
MAE: 6.870531412080132
RMSE: 10.776812351054549
R²: 0.5087037971420254

Decision tree
MAE: 4.3470102842896
RMSE: 7.0800612022664
R²: 0.7879507261401072

Random Forest
MAE: 4.440626947058726
RMSE: 7.233584277927802
R²: 0.7786549279934692

Xboost model
MAE: 3.414319360841061
RMSE: 5.655759886458194
R²: 0.8646853892666232
